time[s],x_ref,y_ref,z_ref,x_act,y_act,z_act,rmse_x,rmse_y,rmse_z,rmse_total
7.24,0.0,0.0,0.0,0.11198183732309806,0.18153533443284717,-0.025007873548975417,,,,
7.25,0.0,0.0,0.0,0.11363792040657897,0.18127923387066947,-0.025008110977500025,,,,
7.26,0.0,0.0,0.0,0.11527755895874489,0.18096742387328763,-0.02500846212382629,,,,
7.2700000000000005,0.0,0.0,0.0,0.11689933472795022,0.1806019496873394,-0.025008933177250413,,,,
7.28,0.0,0.0,0.0,0.11850227500230459,0.18018554413806687,-0.025009481926883067,,,,
7.29,0.0,0.0,0.0,0.12008554009235047,0.17972070969552276,-0.025009944999223103,,,,
7.3,0.0,0.0,0.0,0.12164805765775538,0.17920894962667971,-0.025010234312011013,,,,
7.3100000000000005,0.0,0.0,0.0,0.12318821635847678,0.17865036291733385,-0.02501027525881088,,,,
7.32,0.0,0.0,0.0,0.12470315885537711,0.1780425557218287,-0.025009967821288833,,,,
7.33,0.0,0.0,0.0,0.12618911346130682,0.17738170658419478,-0.025009404131815453,,,,
7.34,0.0,0.0,0.0,0.1276408353789059,0.17666184250929415,-0.025008666115332836,,,,
7.3500000000000005,0.0,0.0,0.0,0.12905290703751424,0.17587732243973161,-0.025007868448768372,,,,
7.36,0.0,0.0,0.0,0.1304196726266719,0.17502264420170077,-0.02500728634044406,,,,
7.37,0.0,0.0,0.0,0.13173705469481442,0.174095146260285,-0.025006968669444723,,,,
7.38,0.0,0.0,0.0,0.13300127281078963,0.1730928026583961,-0.025006773552179583,,,,
7.390000000000001,0.0,0.0,0.0,0.1342088386026299,0.17201414076231514,-0.025006597151525152,,,,
7.4,0.0,0.0,0.0,0.13535614967323792,0.170857637075374,-0.02500649087272021,,,,
7.41,0.0,0.0,0.0,0.13644059010436976,0.16962310880890655,-0.025006474260963696,,,,
7.42,0.0,0.0,0.0,0.137458768963017,0.16830946501063318,-0.025006336634350666,,,,
7.43,0.0,0.0,0.0,0.1384071378942259,0.1669155023551601,-0.02500621379796494,,,,
7.44,0.0,0.0,0.0,0.13928330292663502,0.16544138313386453,-0.02500630518610112,,,,
7.45,0.0,0.0,0.0,0.14008712302026372,0.16388968702453205,-0.025006700434271882,,,,
7.46,0.0,0.0,0.0,0.14081904114189892,0.16226346583419496,-0.02500702388706111,,,,
7.47,0.0,0.0,0.0,0.14147810901680913,0.16056418893979277,-0.025007200508183638,,,,
7.48,0.0,0.0,0.0,0.14206315447686063,0.15879303480907672,-0.025007339747252545,,,,
7.49,0.0,0.0,0.0,0.14257306710144454,0.15695119727629728,-0.025007444443227174,,,,
7.5,0.0,0.0,0.0,0.14300744242501812,0.15504046064682434,-0.02500772573073992,,,,
7.51,0.0,0.0,0.0,0.14336803543648688,0.15306445765301435,-0.02500814840938482,,,,
7.5200000000000005,0.0,0.0,0.0,0.14365615084311367,0.15102626039101327,-0.025008489562633535,,,,
7.53,0.0,0.0,0.0,0.1438724383371773,0.14892824683625044,-0.025008759485407484,,,,
7.54,0.0,0.0,0.0,0.14401773695746517,0.14677284417299716,-0.025009039756259562,,,,
7.55,0.0,0.0,0.0,0.1440934467907864,0.14456281547880243,-0.025009386506614134,,,,
7.5600000000000005,0.0,0.0,0.0,0.1441015381410598,0.14230124156773424,-0.025009715433326273,,,,
7.57,0.0,0.0,0.0,0.14404231198154357,0.13998982989991215,-0.025009815981346245,,,,
7.58,0.0,0.0,0.0,0.14391462608026065,0.13762917286668422,-0.025009860061230273,,,,
7.59,0.0,0.0,0.0,0.1437186622213725,0.13522078949307872,-0.025009987998663375,,,,
7.6000000000000005,0.0,0.0,0.0,0.1434549210101408,0.132766364542658,-0.025010149439813254,,,,
7.61,0.0,0.0,0.0,0.14312440063269571,0.13026784774658537,-0.025010350220236104,,,,
7.62,0.0,0.0,0.0,0.14272767379012458,0.1277268439202414,-0.025010417886154723,,,,
7.63,0.0,0.0,0.0,0.14226183836957496,0.12514273016039318,-0.025010146055788104,,,,
7.640000000000001,0.0,0.0,0.0,0.14172278620841025,0.12251420239521253,-0.025009818022928395,,,,
7.65,0.0,0.0,0.0,0.14110695878245802,0.11984038617605706,-0.025009529527128514,,,,
7.66,0.0,0.0,0.0,0.1404112916454619,0.11712077270803271,-0.025009263455261815,,,,
7.67,0.0,0.0,0.0,0.13963288888626868,0.11435500623089791,-0.025009026555463852,,,,
7.68,0.0,0.0,0.0,0.1387674768931704,0.11154204479093868,-0.025008561132612083,,,,
7.69,0.0,0.0,0.0,0.13780960874199347,0.10868030372978502,-0.02500812426459427,,,,
7.7,0.0,0.0,0.0,0.1367565239556699,0.10576970437231627,-0.025007938361330934,,,,
7.71,0.0,0.0,0.0,0.13560961101639982,0.10281228547050716,-0.025008173730841795,,,,
7.72,0.0,0.0,0.0,0.1343734024242145,0.09981155597983697,-0.025008587013791293,,,,
7.73,0.0,0.0,0.0,0.1330512252566444,0.0967703098854917,-0.02500886661249819,,,,
7.74,0.0,0.0,0.0,0.13164347315978614,0.09368988862070943,-0.02500881475447639,,,,
7.75,0.0,0.0,0.0,0.1301471687542459,0.09057010227692343,-0.025008473550076044,,,,
7.76,0.0,0.0,0.0,0.12855759800422617,0.08741007586690418,-0.025007963117570746,,,,
7.7700000000000005,0.0,0.0,0.0,0.1268709051846543,0.0842094014386317,-0.025007602097947546,,,,
7.78,0.0,0.0,0.0,0.12508563876834958,0.08096874763617971,-0.025007428618767317,,,,
7.79,0.0,0.0,0.0,0.12320414435031664,0.07769030657375763,-0.025007663213236886,,,,
7.8,0.0,0.0,0.0,0.12123633672420502,0.0743790768519607,-0.025008952286724135,,,,
7.8100000000000005,0.0,0.0,0.0,0.11920169944995947,0.0710433581542066,-0.025010692987125518,,,,
7.82,0.0,0.0,0.0,0.11711399364097581,0.06768891566533791,-0.025012011472016853,,,,
7.83,0.0,0.0,0.0,0.11498563472683591,0.06432067756349923,-0.02501335729023721,,,,
7.84,0.0,0.0,0.0,0.11282808255983903,0.06094295649510312,-0.025014364622807612,,,,
7.8500000000000005,0.0,0.0,0.0,0.11064540394148145,0.05755744266348799,-0.025014581625971307,,,,
7.86,0.0,0.0,0.0,0.10843155409886367,0.05416269321219556,-0.02501380362515729,,,,
7.87,0.0,0.0,0.0,0.10617700249503545,0.05075644658374298,-0.025012693957208072,,,,
7.88,0.0,0.0,0.0,0.10387113289188994,0.04733645971739725,-0.02501141289920564,,,,
7.890000000000001,0.0,0.0,0.0,0.10150292553665104,0.04390073649468063,-0.0250101097511359,,,,
7.9,0.0,0.0,0.0,0.09906313977957784,0.040448088627982236,-0.025008872836778332,,,,
